epoch,elapsed_s,cpu_used_pct,load1,load5,load15,mem_used_mb,mem_avail_mb,swap_used_mb,nproc_zephyr,rss_zephyr_mb,open_fds,gw_cpu_millicores,gw_mem_mi
1781953833.314,1873.0,93.0,64.9,69.96,71.25,9873.5,117925.2,0.3,1000,35539.7,16992,5,167
1781953836.314,1876.0,90.77,64.9,69.96,71.25,9837.8,117960.9,0.3,1000,35539.7,16992,5,167
1781953839.314,1879.0,91.31,64.43,69.78,71.18,9869.1,117929.7,0.3,1000,35539.7,16864,5,167
1781953842.316,1882.0,92.22,62.63,69.32,71.03,9969.0,117829.7,0.3,1000,35539.7,16864,5,167
1781953845.316,1885.0,93.22,62.63,69.32,71.03,9779.9,118018.8,0.3,1000,35539.7,16928,8,169
1781953848.316,1888.0,94.2,62.74,69.23,70.99,9723.9,118074.8,0.3,1000,35539.7,16928,8,169
1781953851.317,1891.0,94.91,62.74,69.23,70.99,9755.4,118043.4,0.3,1000,35539.7,16928,8,169
1781953854.317,1894.0,93.81,61.72,68.91,70.88,9797.0,118001.7,0.3,1000,35539.7,16864,8,169
1781953857.317,1897.0,94.08,62.47,68.94,70.88,9832.1,117966.6,0.3,1000,35539.7,16800,8,169
1781953860.317,1900.0,93.24,62.47,68.94,70.88,9782.0,118016.7,0.3,1000,35539.7,16864,8,169
1781953863.317,1903.0,94.69,61.55,68.64,70.77,9919.2,117879.6,0.3,1000,35539.7,16928,8,169
1781953866.317,1906.0,92.97,61.55,68.64,70.77,9837.3,117961.4,0.3,1000,35539.7,16928,8,169
1781953869.317,1909.0,94.72,65.91,69.43,71.01,9804.0,117994.8,0.3,1000,35539.7,16800,8,169
1781953872.318,1912.0,92.95,68.32,69.87,71.15,9766.3,118032.5,0.3,1000,35539.7,16864,8,169
1781953875.318,1915.0,91.87,68.32,69.87,71.15,9975.4,117823.4,0.3,1000,35539.7,16928,8,169
1781953878.318,1918.0,91.09,88.63,74.06,72.5,9898.8,117899.9,0.3,1000,35539.7,17120,8,169
1781953881.318,1921.0,92.9,88.63,74.06,72.5,9963.1,117835.7,0.3,1000,35539.7,17056,5,169
1781953884.318,1924.0,94.82,99.71,76.6,73.33,9775.3,118023.5,0.3,1000,35539.7,17120,5,169
1781953887.319,1927.0,94.38,94.77,75.96,73.14,9953.8,117845.0,0.3,1000,35539.7,17248,5,169
